".id","from","to","link","filename"
"links_2015",2015-12-27,2016-01-02,"https://data.stadt-zuerich.ch/dataset/vbz_fahrzeiten_ogd_2015/resource/4752671e-0b95-4504-a395-28389b746adc/download/fahrzeitensollist2015122720160102.csv","fahrzeitensollist2015122720160102.csv"
"links_2015",2015-12-13,2015-12-19,"https://data.stadt-zuerich.ch/dataset/vbz_fahrzeiten_ogd_2015/resource/75fca829-8239-4d33-9de4-618d964c4e96/download/fahrzeitensollist2015121320151219.csv","fahrzeitensollist2015121320151219.csv"
"links_2015",2015-12-06,2015-12-12,"https://data.stadt-zuerich.ch/dataset/vbz_fahrzeiten_ogd_2015/resource/e90081d1-beeb-448d-b222-eb6b7754f1bf/download/fahrzeitensollist2015120620151212.csv","fahrzeitensollist2015120620151212.csv"
"links_2015",2015-11-29,2015-12-05,"https://data.stadt-zuerich.ch/dataset/vbz_fahrzeiten_ogd_2015/resource/b75a5e8d-7b24-4db4-b7ee-67c511ba2220/download/fahrzeitensollist2015112920151205.csv","fahrzeitensollist2015112920151205.csv"
"links_2015",2015-11-22,2015-11-28,"https://data.stadt-zuerich.ch/dataset/vbz_fahrzeiten_ogd_2015/resource/9aa88cf2-bf1d-41c7-b551-504aa0c9b93d/download/fahrzeitensollist2015112220151128.csv","fahrzeitensollist2015112220151128.csv"
"links_2015",2015-11-15,2015-11-21,"https://data.stadt-zuerich.ch/dataset/vbz_fahrzeiten_ogd_2015/resource/5b5837d3-7b60-4c6d-90f4-6bd8eed006f5/download/fahrzeitensollist2015111520151121.csv","fahrzeitensollist2015111520151121.csv"
"links_2015",2015-12-20,2015-12-26,"https://data.stadt-zuerich.ch/dataset/vbz_fahrzeiten_ogd_2015/resource/2b28d18a-3dca-40a3-9720-ef15b57645d4/download/fahrzeitensollist2015122020151226.csv","fahrzeitensollist2015122020151226.csv"
"links_2015",2015-10-11,2015-10-17,"https://data.stadt-zuerich.ch/dataset/vbz_fahrzeiten_ogd_2015/resource/b7871666-face-4c31-b030-f223a47bd0e5/download/fahrzeitensollist2015101120151017.csv","fahrzeitensollist2015101120151017.csv"
"links_2015",2015-10-25,2015-10-31,"https://data.stadt-zuerich.ch/dataset/vbz_fahrzeiten_ogd_2015/resource/5b0a8ea7-d07d-44b3-8eff-0f6580b9afca/download/fahrzeitensollist2015102520151031.csv","fahrzeitensollist2015102520151031.csv"
"links_2015",2015-10-18,2015-10-24,"https://data.stadt-zuerich.ch/dataset/vbz_fahrzeiten_ogd_2015/resource/0965fac5-2008-45d3-be41-b17512f13225/download/fahrzeitensollist2015101820151024.csv","fahrzeitensollist2015101820151024.csv"
